Datetime,Event,Value
2000-01-01T11:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T12:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T13:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T14:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T15:00:00,Stanford Sleepiness Self-Assessment (1-7),5
2000-01-01T16:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-01T17:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-01T18:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T19:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-01T20:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T21:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T22:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-01T23:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T00:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T01:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-02T02:00:00,Stanford Sleepiness Self-Assessment (1-7),1
2000-01-02T03:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T04:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T05:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T06:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T07:00:00,Stanford Sleepiness Self-Assessment (1-7),5
2000-01-02T08:00:00,Stanford Sleepiness Self-Assessment (1-7),4
2000-01-02T09:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T10:00:00,Stanford Sleepiness Self-Assessment (1-7),2
2000-01-02T11:00:00,Stanford Sleepiness Self-Assessment (1-7),3
2000-01-02T11:04:00,Sleep-2-Peak Reaction Time (ms),250
2000-01-02T10:02:00,Sleep-2-Peak Reaction Time (ms),227
2000-01-02T09:02:00,Sleep-2-Peak Reaction Time (ms),258
2000-01-02T08:02:00,Sleep-2-Peak Reaction Time (ms),271
2000-01-02T07:01:00,Sleep-2-Peak Reaction Time (ms),298
2000-01-02T06:02:00,Sleep-2-Peak Reaction Time (ms),250
2000-01-02T05:01:00,Sleep-2-Peak Reaction Time (ms),230
2000-01-02T04:02:00,Sleep-2-Peak Reaction Time (ms),232
2000-01-02T03:02:00,Sleep-2-Peak Reaction Time (ms),209
2000-01-02T02:04:00,Sleep-2-Peak Reaction Time (ms),210
2000-01-02T01:03:00,Sleep-2-Peak Reaction Time (ms),266
2000-01-02T00:02:00,Sleep-2-Peak Reaction Time (ms),262
2000-01-01T23:02:00,Sleep-2-Peak Reaction Time (ms),273
2000-01-01T22:02:00,Sleep-2-Peak Reaction Time (ms),218
2000-01-01T21:06:00,Sleep-2-Peak Reaction Time (ms),224
2000-01-01T20:02:00,Sleep-2-Peak Reaction Time (ms),244
2000-01-01T19:02:00,Sleep-2-Peak Reaction Time (ms),238
2000-01-01T18:03:00,Sleep-2-Peak Reaction Time (ms),233
2000-01-01T17:04:00,Sleep-2-Peak Reaction Time (ms),205
2000-01-01T16:02:00,Sleep-2-Peak Reaction Time (ms),234
2000-01-01T15:01:00,Sleep-2-Peak Reaction Time (ms),304
2000-01-01T14:02:00,Sleep-2-Peak Reaction Time (ms),204
2000-01-01T13:02:00,Sleep-2-Peak Reaction Time (ms),209
2000-01-01T12:02:00,Sleep-2-Peak Reaction Time (ms),213
2000-01-01T11:03:00,Sleep-2-Peak Reaction Time (ms),273
2000-01-01T12:00:00,Diary Entry (text),"Had lunch, smoke, toilet"
2000-01-01T13:00:00,Diary Entry (text),Started listening to music (Action Bronson)
2000-01-01T14:08:00,Diary Entry (text),"Numbing agent needed, ear pinching"
2000-01-01T14:35:00,Diary Entry (text),"Had a coffee, put on jacket as was cold"
2000-01-01T14:55:00,Diary Entry (text),"Laughed at a joke, looked up a little"
2000-01-01T15:04:00,Diary Entry (text),"Stopped playing Cio 5, had smoke"
2000-01-01T15:20:00,Diary Entry (text),"Came back from break, started new game"
2000-01-01T16:00:00,Diary Entry (text),"Took break, food, stretched, coffee, cigarette"
2000-01-01T16:45:00,Diary Entry (text),Resumed
2000-01-01T18:30:00,Diary Entry (text),"Changed game to Dark Souls, increased intensity"
2000-01-01T20:00:00,Diary Entry (text),"Break, smoke, stretch, toilet, laughed at memes"
2000-01-01T21:00:00,Diary Entry (text),"Ate, very spice"
2000-01-01T21:25:00,Diary Entry (text),"Resumed games, listening to skq, coffee"
2000-01-01T22:15:00,Diary Entry (text),Back to Dark Souls
2000-01-01T23:10:00,Diary Entry (text),Very hard part
2000-01-01T23:35:00,Diary Entry (text),Killed by big freaking boss
2000-01-02T00:35:00,Diary Entry (text),"Struggled for a while in game, smoke break"
2000-01-02T00:45:00,Diary Entry (text),Back to Dark Souls
2000-01-02T01:01:00,Diary Entry (text),Killed boss
2000-01-02T02:01:00,Diary Entry (text),Stuck on area frustration
2000-01-02T02:10:00,Diary Entry (text),"Ear hurt, took break, smoke, toilet"
2000-01-02T03:15:00,Diary Entry (text),Killed boss
2000-01-02T04:20:00,Diary Entry (text),Unfortunately nothing
2000-01-02T05:01:00,Diary Entry (text),"Smoke, toilet, break, coffee"
2000-01-02T05:10:00,Diary Entry (text),Resumed new game
2000-01-02T06:20:00,Diary Entry (text),Listened to Rammstein
2000-01-02T06:45:00,Diary Entry (text),"Stopped playing, browsed the web"
2000-01-02T07:30:00,Diary Entry (text),Break
2000-01-02T07:40:00,Diary Entry (text),Return
,,
,,
,,
,,
,,
,,